run_id,relative_abundance,phenotype,ncbi_taxon_id
SRR3400417,0.00022218,D015212,367282
SRR3400419,0.000440696,D015212,367282
SRR3400430,0.000717901,D015212,367282
SRR3400432,0.000485369,D015212,367282
SRR3400434,0.00080548,D015212,367282
SRR3400436,0.0008063,D015212,367282
SRR3400441,0.000429817,D015212,367282
SRR3400443,0.000710964,D015212,367282
SRR3400444,0.000507331,D015212,367282
SRR3400445,0.000265842,D015212,367282
SRR3400447,0.00018304,D015212,367282
SRR3400448,0.000196157,D015212,367282
SRR3400455,0.000276193,D015212,367282
SRR3400417,0.00022218,D015212,28137
SRR3400420,0.000546977,D015212,28137
SRR3400422,0.000327836,D015212,28137
SRR3400426,0.000233608,D015212,28137
SRR3400428,0.000338691,D015212,28137
SRR3400431,0.000305499,D015212,28137
SRR3400434,0.00080548,D015212,28137
SRR3400435,0.000463154,D015212,28137
SRR3400436,0.000268767,D015212,28137
SRR3400440,0.000688691,D015212,28137
SRR3400442,0.00105009,D015212,28137
SRR3400445,0.000265842,D015212,28137
SRR3400448,0.000196157,D015212,28137
SRR3400450,0.00041981,D015212,28137
SRR3400451,0.000205376,D015212,28137
SRR3400452,0.000576661,D015212,28137
SRR3400453,0.000648884,D015212,28137
SRR5218294,0.00423231,D015212,28137
SRR5218295,0.00858309,D015212,28137
SRR5218296,0.00135138,D015212,28137
SRR5218298,0.00185645,D015212,28137
SRR5218301,0.00323735,D015212,28137
SRR5218292,0.00915023,D015212,28137
SRR5218370,0.0350464,D015212,28137
SRR5218371,0.0150551,D015212,28137
SRR5218372,0.0151301,D015212,28137
SRR5218373,0.00637694,D015212,28137
SRR5218377,0.00427698,D015212,28137
SRR5218383,0.0189759,D015212,28137
SRR5218392,0.0294192,D015212,28137
SRR5218393,0.0620165,D015212,28137
SRR5218395,0.00244397,D015212,28137
SRR5218399,0.0095645,D015212,28137
SRR5651412,0.06893,D015212,28137
SRR5651414,34.4217,D015212,28137
SRR5651411,8.54021,D015212,28137
SRR6424549,0.00197754,D015212,28137
ERR1390024,0.00329207,D015212,28137
ERR1390025,0.00343903,D015212,28137
ERR1459014,0.00427917,D015212,28137
ERR1678494,0.00404008,D015212,28137
ERR1842582,0.0149858,D015212,28137
ERR2032773,0.00290613,D015212,28137
ERR2057024,0.028037,D015212,28137
ERR2057025,0.018005,D015212,28137
ERR1250041,0.072731,D015212,28137
ERR1160479,0.00100463,D015212,28137
ERR1160361,0.166079,D015212,28137
ERR1389954,0.00365684,D015212,28137
ERR1390032,0.00416406,D015212,28137
ERR1160614,0.0278717,D015212,28137
ERR2057087,0.00434329,D015212,28137
ERR2319373,0.00232526,D015212,28137
ERR1089919,0.00304618,D015212,28137
ERR1250575,0.00506586,D015212,28137
ERR1090709,0.0124891,D015212,28137
ERR1546067,0.00465875,D015212,28137
ERR1843696,0.00530138,D015212,28137
ERR1843596,0.0113804,D015212,28137
ERR1075709,0.00327225,D015212,28137
ERR1090119,0.00498629,D015212,28137
ERR1090649,0.016123,D015212,28137
ERR1090680,0.0052086,D015212,28137
ERR1249769,0.0159693,D015212,28137
ERR1249927,0.0100934,D015212,28137
ERR1843841,0.00441423,D015212,28137
ERR1854719,0.00622859,D015212,28137
ERR2032932,0.00428725,D015212,28137
